User_ID,Age,Gender,Location,Education,Occupation,Primary_App,Secondary_Apps,Usage_Frequency,Daily_Usage_Time,Reason_for_Using,Satisfaction,Challenges,Desired_Features,Preferred_Communication,Partner_Priorities,Hobbies,Favorite_Music,Ideal_First_Date,Relationship_Type
1,20,Non-binary,Bangalore,Undergraduate,Freelancer,Hinge,Hinge,Monthly,1 hour,Finding a Partner,4,Safety Concerns,Audio Calls,Video Calls,Values > Personality > Appearance,"Reading, Traveling",Indie,Coffee Shop,Long-term
2,24,Female,Delhi,Undergraduate,Part-time Job,Hinge,OkCupid,Weekly,30 minutes,Casual Dating,5,Time-Wasting,Video Calls,Text,Values > Personality > Appearance,"Movies, Sports",Pop,Movie Night,Casual
3,24,Non-binary,Kolkata,Undergraduate,Intern,,,Weekly,2 hours,Casual Dating,4,Safety Concerns,Detailed Profiles,Text,Values > Personality > Appearance,"Cooking, Gaming",Rock,Dinner at Home,Long-term
4,22,Non-binary,Delhi,Graduate,Full-time Job,,OkCupid,Daily,30 minutes,Casual Fun,3,,AI Recommendations,Voice Notes,Personality > Interests > Values,"Hiking, Music",Jazz,Picnic,Casual
5,18,Male,Delhi,Graduate,Intern,OkCupid,OkCupid,Weekly,2 hours,Casual Fun,4,Safety Concerns,Video Calls,Text,Appearance > Interests > Personality,"Art, Photography",Classical,Art Gallery,Long-term
6,23,Female,Mumbai,Undergraduate,Student,OkCupid,,Daily,1.5 hours,Casual Dating,2,,Audio Calls,Video Calls,Values > Personality > Appearance,"Fitness, Traveling",Hip-Hop,Outdoor Adventure,Casual
7,22,Non-binary,Chennai,Postgraduate,Part-time Job,Tinder,Tinder,Monthly,30 minutes,Finding a Partner,4,Time-Wasting,Audio Calls,Text,Personality > Interests > Values,"Reading, Writing",Alternative,Bookstore,Long-term
8,21,Female,Pune,Postgraduate,Freelancer,Hinge,Tinder,Weekly,1.5 hours,Finding a Partner,2,Safety Concerns,Audio Calls,Video Calls,Values > Personality > Appearance,"Sports, Music",Country,Concert,Casual
9,20,Male,Pune,Postgraduate,Part-time Job,Hinge,OkCupid,Daily,2 hours,Finding a Partner,1,Lack of Genuine Matches,Audio Calls,Text,Values > Personality > Appearance,"Traveling, Cooking",R&B,Beach Day,Long-term
10,20,Non-binary,Chennai,Undergraduate,Intern,OkCupid,Bumble,Weekly,3 hours,Finding a Partner,1,Safety Concerns,Location-Based Matching,Video Calls,Values > Personality > Appearance,"Hiking, Fitness",EDM,Amusement Park,Casual
11,18,Female,Hyderabad,Postgraduate,Full-time Job,Tinder,Hinge,Daily,1 hour,Social Interaction,1,,Location-Based Matching,Voice Notes,Appearance > Interests > Personality,"Dancing, Painting",Reggae,Wine Tasting,Long-term
12,21,Male,Delhi,Undergraduate,Part-time Job,,,Monthly,3 hours,Finding a Partner,1,,Audio Calls,Voice Notes,Appearance > Interests > Personality,"Gaming, Coding",Metal,Escape Room,Casual
13,22,Male,Bangalore,Undergraduate,Student,Hinge,OkCupid,Monthly,1 hour,Casual Dating,3,Time-Wasting,Video Calls,Video Calls,Personality > Interests > Values,"Photography, Writing",Indie,Nature Walk,Long-term
14,19,Non-binary,Bangalore,Undergraduate,Student,Hinge,Bumble,Daily,2 hours,Social Interaction,1,,AI Recommendations,Voice Notes,Personality > Interests > Values,"Cooking, Sports",Pop,Cooking Class,Casual
15,22,Non-binary,Chennai,Graduate,Intern,Hinge,,Daily,1.5 hours,Casual Fun,1,Lack of Genuine Matches,Audio Calls,Voice Notes,Appearance > Interests > Personality,"Traveling, Yoga",Classical,Spa Day,Long-term
16,19,Female,Bangalore,Undergraduate,Freelancer,Hinge,OkCupid,Daily,1.5 hours,Casual Dating,5,Time-Wasting,Detailed Profiles,Text,Appearance > Interests > Personality,"Reading, Hiking",Jazz,Botanical Garden,Casual
17,22,Non-binary,Hyderabad,Graduate,Part-time Job,Bumble,Tinder,Monthly,1 hour,Casual Fun,3,Lack of Genuine Matches,Location-Based Matching,Video Calls,Values > Personality > Appearance,"Music, Sports",EDM,Live Music,Long-term
18,19,Non-binary,Hyderabad,Graduate,Student,OkCupid,OkCupid,Monthly,1 hour,Finding a Partner,3,Safety Concerns,Detailed Profiles,Text,Personality > Interests > Values,"Fitness, Art",Rock,Art Exhibit,Casual
19,24,Male,Hyderabad,Graduate,Intern,,Hinge,Daily,30 minutes,Casual Dating,2,Lack of Genuine Matches,AI Recommendations,Video Calls,Personality > Interests > Values,"Traveling, Cooking",Hip-Hop,Food Festival,Long-term
20,22,Non-binary,Pune,Undergraduate,Student,Hinge,Hinge,Weekly,1.5 hours,Finding a Partner,1,Time-Wasting,Video Calls,Voice Notes,Appearance > Interests > Personality,"Gaming, Music",Alternative,Karaoke Night,Casual
21,22,Male,Mumbai,Postgraduate,Freelancer,Hinge,Bumble,Weekly,3 hours,Social Interaction,1,Safety Concerns,AI Recommendations,Video Calls,Values > Personality > Appearance,"Reading, Fitness",Country,Picnic in the Park,Long-term
22,25,Non-binary,Hyderabad,Undergraduate,Intern,,,Weekly,3 hours,Finding a Partner,5,Lack of Genuine Matches,AI Recommendations,Text,Appearance > Interests > Personality,"Dancing, Traveling",Indie,Dance Class,Casual
23,20,Female,Pune,Graduate,Full-time Job,Hinge,OkCupid,Daily,3 hours,Finding a Partner,4,Safety Concerns,Audio Calls,Video Calls,Appearance > Interests > Personality,"Photography, Hiking",R&B,Photography Walk,Long-term
24,18,Male,Delhi,Graduate,Freelancer,Tinder,Bumble,Weekly,2 hours,Casual Dating,5,Time-Wasting,Detailed Profiles,Text,Appearance > Interests > Personality,"Cooking, Sports",Pop,Bowling Night,Casual
25,24,Male,Bangalore,Postgraduate,Full-time Job,,Tinder,Daily,2 hours,Social Interaction,3,Time-Wasting,Location-Based Matching,Text,Values > Personality > Appearance,"Reading, Music",Jazz,Coffee Tasting,Long-term
26,24,Male,Kolkata,Graduate,Full-time Job,Bumble,OkCupid,Weekly,3 hours,Social Interaction,2,Lack of Genuine Matches,Detailed Profiles,Voice Notes,Values > Personality > Appearance,"Traveling, Crafting",Folk,Pottery Class,Casual
27,21,Female,Delhi,Undergraduate,Student,Bumble,Tinder,Weekly,3 hours,Casual Dating,5,Lack of Genuine Matches,Location-Based Matching,Video Calls,Appearance > Interests > Personality,"Gaming, Hiking",Indie,Rock Climbing,Long-term
28,23,Male,Kolkata,Undergraduate,Part-time Job,Bumble,,Weekly,2 hours,Casual Fun,1,Time-Wasting,Location-Based Matching,Voice Notes,Appearance > Interests > Personality,"Photography, Cooking",Rock,Dinner Cruise,Casual
29,19,Female,Chennai,Undergraduate,Student,OkCupid,OkCupid,Weekly,3 hours,Casual Dating,4,Lack of Genuine Matches,Detailed Profiles,Video Calls,Appearance > Interests > Personality,"Fitness, Writing",Classical,Yoga Retreat,Long-term
30,18,Male,Mumbai,Undergraduate,Freelancer,Tinder,Tinder,Daily,3 hours,Finding a Partner,4,,Location-Based Matching,Voice Notes,Personality > Interests > Values,"Dancing, Traveling",Pop,Dance Show,Casual
31,24,Non-binary,Bangalore,Graduate,Full-time Job,Hinge,OkCupid,Weekly,30 minutes,Casual Dating,5,,Audio Calls,Voice Notes,Personality > Interests > Values,"Cooking, Reading",R&B,Candlelit Dinner,Long-term
32,20,Male,Bangalore,Graduate,Full-time Job,Hinge,OkCupid,Monthly,1 hour,Finding a Partner,3,Time-Wasting,Detailed Profiles,Voice Notes,Values > Personality > Appearance,"Traveling, Sports",Country,Sports Game,Casual
33,24,Female,Delhi,Graduate,Part-time Job,,OkCupid,Weekly,30 minutes,Casual Dating,3,Time-Wasting,Detailed Profiles,Text,Personality > Interests > Values,"Gaming, Music",EDM,Music Festival,Long-term
34,25,Male,Kolkata,Graduate,Full-time Job,,Hinge,Weekly,3 hours,Finding a Partner,5,Time-Wasting,Location-Based Matching,Voice Notes,Appearance > Interests > Personality,"Photography, Fitness",Jazz,Fitness Class,Casual
35,21,Female,Delhi,Graduate,Full-time Job,Bumble,OkCupid,Daily,2 hours,Casual Dating,3,Safety Concerns,Audio Calls,Voice Notes,Values > Personality > Appearance,"Cooking, Hiking",Indie,Nature Cookout,Long-term
36,22,Non-binary,Mumbai,Postgraduate,Part-time Job,,Hinge,Monthly,30 minutes,Finding a Partner,3,Lack of Genuine Matches,AI Recommendations,Text,Appearance > Interests > Personality,"Reading, Dancing",Alternative,Theater Show,Casual
37,22,Female,Kolkata,Undergraduate,Intern,Bumble,,Monthly,1 hour,Finding a Partner,3,Safety Concerns,Video Calls,Voice Notes,Personality > Interests > Values,"Traveling, Art",Classical,Art Walk,Long-term
38,20,Female,Mumbai,Undergraduate,Full-time Job,Hinge,Tinder,Daily,1.5 hours,Finding a Partner,1,Lack of Genuine Matches,Audio Calls,Voice Notes,Appearance > Interests > Personality,"Fitness, Movies",Pop,Outdoor Movie Night,Casual
39,21,Male,Delhi,Postgraduate,Full-time Job,Bumble,Tinder,Daily,1 hour,Casual Fun,1,Safety Concerns,Location-Based Matching,Voice Notes,Personality > Interests > Values,"Hiking, Photography",R&B,Scenic Drive,Long-term
40,18,Male,Kolkata,Graduate,Intern,Tinder,Bumble,Weekly,1 hour,Social Interaction,5,,Audio Calls,Video Calls,Appearance > Interests > Personality,"Gaming, Cooking",EDM,Game Night,Casual
41,24,Male,Bangalore,Undergraduate,Student,Bumble,Tinder,Daily,1.5 hours,Finding a Partner,3,Time-Wasting,Video Calls,Video Calls,Values > Personality > Appearance,"Reading, Traveling",Indie,Coffee Tasting,Long-term
42,19,Female,Pune,Postgraduate,Part-time Job,,Tinder,Weekly,2 hours,Casual Dating,2,Safety Concerns,Detailed Profiles,Voice Notes,Values > Personality > Appearance,"Dancing, Sports",Pop,Dance Party,Casual
43,19,Female,Bangalore,Graduate,Part-time Job,OkCupid,OkCupid,Weekly,2 hours,Social Interaction,4,,Location-Based Matching,Voice Notes,Values > Personality > Appearance,"Cooking, Fitness",Rock,Healthy Cooking Class,Long-term
44,23,Female,Delhi,Postgraduate,Freelancer,Tinder,Hinge,Weekly,2 hours,Casual Fun,5,Lack of Genuine Matches,Location-Based Matching,Video Calls,Personality > Interests > Values,"Traveling, Writing",Jazz,Book Reading,Casual
